date,Po,P,U,Ff,VV,tavg,tmin,tmax,prcp,wspd
2005/4/28,753.625,757.25,85.25,1,5.25,24.1,21.2,28.9,4.3,3.3
2005/4/29,752.4,756,82,1.75,11.75,26.3,23.5,31.9,0,7.2
2005/4/30,751.65,755.25,81.75,2,12,27.5,25.4,29.8,0,8.7
2005/5/1,751.375,754.95,82.5,2,11,27.9,25.6,31.3,0.1,9
2005/5/2,752.975,756.55,84,1.25,7.8,26.3,21.7,30.2,24.5,7.8
2005/5/3,753,756.575,81.75,1.75,9.75,28.3,26.1,31.9,0,8
2005/5/4,752.15,755.75,79.25,2,14.5,27.3,25.7,30.5,0.1,8.6
2005/5/5,749.15,752.7,74,2.25,14.25,28.3,25.8,32.4,0,10.1
2005/5/6,751.325,754.925,74.5,1.75,13,24.3,20.6,30,43.2,11.4
2005/5/7,753.325,756.925,63.5,1.25,15.25,24.6,21.4,27.8,0,4.4
2005/5/8,753,756.6,88,1.25,6,24.7,23.1,27.4,43.3,5
2005/5/9,750.8,754.4,90,1.5,6.75,23.5,21.3,25.2,89.5,6.3
2005/5/10,750.7,754.3,86.75,0.75,7.375,25,22.6,28.4,5.7,5.3
2005/5/11,751.925,755.525,83.5,1.75,6.625,25.7,23.8,27.6,0.6,5.6
2005/5/12,751.525,755.1,82.75,1.5,5.625,27.7,24.9,31.6,0,8.3
2005/5/13,750.125,753.625,77.5,2.25,12.75,29.5,26.7,34,0,7.5
2005/5/14,750.6,754.1,77,2,13,29.3,26.9,33.4,0,7.4
2005/5/15,752.325,755.825,80,2.25,12.75,29.1,27.3,31.6,0.2,8.1
2005/5/16,752.975,756.55,76.25,2.5,14.25,29.2,26.6,33,0.2,8.5
2005/5/17,752.9,756.45,75.5,1.75,15.25,28.9,27.1,33.3,3.9,8.6
2005/5/18,753.025,756.6,79.25,1.75,15,28.9,24.4,34.3,33.9,6.2
2005/5/19,754.175,757.775,90,1.75,8.25,25.5,24.2,28,55.9,6.2
2005/5/20,754.425,758.025,86.25,2.25,5.375,26.6,24.9,29.8,2.6,7.1
2005/5/21,753.55,757.15,80.25,1.25,11,28.3,25,33.7,1.5,7.1
2005/5/22,752.9,756.45,73.25,1.75,15,29.5,25.6,34.5,0,6.8
2005/5/23,752.45,755.975,74.5,1.75,14,29.3,26.8,32.7,0.2,6.2
2005/5/24,752.075,755.625,74.5,1.25,15.75,28.2,22.8,33.2,29.1,5.4
2005/5/25,753.075,756.65,78.75,1.75,9.5,27.8,24.5,32.4,25.1,7.8
2005/5/26,753.375,756.975,83.25,1.5,10.5,26.3,24.8,30.4,15.7,8.7
2005/5/27,751.55,755.15,89,1,7.25,25.9,24.8,29.5,18.8,5.1
2005/5/28,751.45,755.025,79,1.25,12,28.3,24.6,32.7,0.1,5.6
2005/5/29,753.675,757.275,82.5,0.75,9.5,26.5,24.8,29.9,1,5.1
2005/5/30,753.025,756.625,76,1.25,9,27.7,25.1,32.3,0,5.1
2005/5/31,751.05,754.6,71.5,1.25,11.25,28.4,25.7,32.3,0,4.8
2005/6/1,748.8333333,752.625,73.5,1.25,15,29.2,26.2,34.1,0.1,7.5
2005/6/2,748.45,752,79,1.25,15.75,28.9,24.9,33.7,21.9,7.1
2005/6/3,749.475,753.025,84.5,1,8.875,27.9,25,33.2,21.6,5
2005/6/4,750.45,754.025,88.75,0.75,6.75,26.4,25,32.2,29.1,5.1
2005/6/5,751.1,754.7,79.75,1.5,8.75,25.5,23.8,29.1,109.9,7.8
2005/6/6,751.225,754.8,64.25,1.5,14.75,27.6,23.9,32.5,0,5.4
2005/6/7,751.25,754.825,73.5,1.5,10.75,26.3,22.7,29.6,1.5,5.7
2005/6/8,751.15,754.725,68,1.5,10.5,27.9,24.1,33.4,0,5.6
2005/6/9,750.225,753.775,64.5,1.25,14,28.4,24.2,33.4,0,5
2005/6/10,748.275,751.775,74,1,8.5,29.5,25.4,34.2,0.5,5.1
2005/6/11,747.125,750.65,73,1.25,13.25,30.6,27.6,36.5,30.5,6.3
2005/6/12,747.175,750.725,86,1.25,12,27.7,25.7,30.6,18.5,5.7
2005/6/13,747.95,751.55,81.25,1.25,10.25,28.4,24.6,33.1,0.2,6
2005/6/14,747.25,750.825,79.25,1,12,29.2,26.3,35.2,5.7,5
2005/6/15,747.45,751.025,90.75,0.5,3.075,26.7,25.5,29.6,10.5,6
2005/6/16,749.775,753.35,91,1,4.25,26.7,25.5,29.2,54.6,5.4
2005/6/17,751.475,755.075,90.25,1.25,6.25,26.7,25.2,29.4,28.5,5.6
2005/6/18,751.15,754.075,81.5,1.5,14.25,28.8,26.1,33.2,0.2,5.7
2005/6/19,749.4666667,753.1,73.75,2,18.75,30.6,27.6,34.6,0,10.8
2005/6/20,749.75,753.3,83,1.5,14.75,28.4,25.1,31.2,39,10.4
2005/6/21,750.1666667,753.675,91.5,1,8,26.3,24.1,30.2,92.3,6.3
2005/6/22,750.2,753.725,91.75,1,2.875,25.8,24.3,27.7,24.3,4.7
2005/6/23,750.825,754.425,90.5,1.25,9,26.1,25.6,27.4,15.5,5
2005/6/24,751.75,755.35,88.5,1,7,26.5,24.8,28.4,4.6,6.3
2005/6/25,751.175,754.75,81.25,1,14.25,29,26,34.2,10.5,7.7
2005/6/26,749.95,753.525,79.75,2.5,14.5,29.2,26.6,32.7,0.3,9.2
2005/6/27,749.875,753.45,84.5,2.5,13,28.3,25.8,31.1,26,7.4
2005/6/28,750.625,754.175,86.25,1.25,10.25,27.7,25.8,30.7,13.1,5.2
2005/6/29,751.4,754.95,75,1.25,14,29.4,25.3,34.3,0,4.4
2005/6/30,751.95,755.525,87.5,2.25,15.5,26.2,25.1,30,22.6,10.8
2005/7/1,754.15,757.75,84.75,2.25,13,26.7,24.6,29.6,5.6,9
2005/7/2,754.5,758.1,83.75,1.25,12.25,27,25.2,32.1,0.4,6.9
2005/7/3,753.85,757.425,68.25,1.5,15.75,29.7,24.9,34.9,0,5.6
2005/7/4,753.05,756.55,73.5,2,13.5,30,27.4,33.7,0,7.1
2005/7/5,752.425,755.925,69,1.5,15.5,30.8,26.7,35.4,0,6.3
2005/7/6,750.95,754.525,62.25,1.25,15.25,31.4,27.6,36.9,0,5.9
2005/7/7,750.15,753.675,75.75,1,10,29.7,27.2,34.3,0.2,6.2
2005/7/8,751.225,754.775,83.75,1.75,11.25,27.5,24.7,29.2,7.5,7.8
2005/7/9,752.825,756.425,78.75,1.75,12.75,28.1,24.8,32.2,0,9
2005/7/10,753.925,757.45,75.25,2.5,15.5,29.5,27.1,33.5,0,10.5
2005/7/11,754.925,758.5,75.5,2.25,15.5,29.6,26.6,33.6,0,9
2005/7/12,754.825,758.4,72.75,1.75,15.25,29.9,26.8,34,0,7.7
2005/7/13,754.8,758.3,66.66666667,1.666666667,14.33333333,31,27.4,35.6,0,6.3
2005/7/14,755.4,758.9,68.5,1.75,15.75,30.9,27.9,35.6,0,6.8
2005/7/15,755.05,758.6,67.5,1.75,13.5,31,27.2,35.6,0,6.3
2005/7/16,754,757.525,62.5,0.75,13.25,31.4,26.8,35.6,0,4.1
2005/7/17,750.775,754.3,60,1.25,14.5,31.9,27.2,37.4,0,5.7
2005/7/18,747.875,751.35,56,1.75,12.25,33.7,28.5,39,0,8.6
2005/7/19,745.5,748.9,53.5,1.5,13.5,34.2,30.4,38.8,0,10.8
2005/7/20,746.075,749.575,50.75,2,13.75,33.3,30.3,38.2,0,8.4
2005/7/21,747.5666667,751.0333333,74.66666667,0.666666667,10,30.7,25,37.2,15.7,6.3
2005/7/22,749.4666667,753.15,81,1.25,9.5,27.6,25.8,30.5,0,5.6
2005/7/23,751.05,754.65,81.75,1,12.75,27.2,24.4,30.5,13.5,5.9
2005/7/24,750.8,754.125,72.25,0.5,9.375,29.4,24.9,34.7,0,4.5
2005/7/25,749.8,753.35,72.5,1,12,30.4,25.7,35.1,0,4.8
2005/7/26,749.4666667,753.1,68.5,1,8.75,30.9,27,35.3,0,6.6
2005/7/27,749.65,753.175,66,1.5,11,30.6,27.7,34.8,0,6.2
2005/7/28,749.375,752.875,62,2,14.5,30.8,25.5,36.4,0,7.2
2005/7/29,748.125,751.625,71.25,1.75,17.5,29.8,25.9,32.8,22,8.95
2005/7/30,749.275,752.85,88,2,13.5,26.4,25.7,28.9,43.9,10.7
2005/7/31,752.15,755.75,90.75,2,7.25,26.3,25.8,27.6,22.7,6.5
2005/8/1,752.95,756.525,75,2,13,29.4,25.2,34.2,0,7.4
2005/8/2,751.4,754.9,71.75,1.5,15.25,30.2,26.5,35.4,0,4.7
2005/8/3,748.2333333,752.15,66.75,1.25,14.25,31,27,36.3,0,5.3
2005/8/4,747,750.525,72,1,11.25,31,28,35.4,8.3,5.9
2005/8/5,746.425,749.925,73.5,1,10.25,29.8,24,35.9,94.4,6.9
2005/8/6,745,748.525,65,1,10.5,31.5,28.1,36.5,0,7.4
2005/8/7,746.2,749.7,78.25,1.5,7,29.4,24.2,34.9,56.7,5.6
2005/8/8,749.0666667,752.775,72.25,1.75,14.25,30.6,26.4,34.9,0,7.4
2005/8/9,750.2,753.75,75.75,1.25,14.5,29,26.3,33.3,12.7,6.9
2005/8/10,749.375,752.925,80,2.25,12.75,28.2,25.7,32.2,10.4,8.9
2005/8/11,750.025,753.55,75.5,1.25,18,28.4,25.5,32.3,3.7,7.8
2005/8/12,747.85,751.375,71,1.5,13.75,30.6,25.5,36.8,0,8.4
2005/8/13,745.85,749.325,72,1.25,12.5,30.1,26,34.6,2.3,7.5
2005/8/14,749.2,752.7,74.75,1.5,11.5,29,25.4,32.7,0.6,7.8
2005/8/15,750.5,754.05,84.75,1.5,9.5,27.1,25,31.3,51,8.1
2005/8/16,751.2,754.8,84.33333333,2,13.66666667,27.5,25.2,31.9,1.9,10.1
2005/8/17,751.125,754.725,79.25,1.75,16.75,27.1,24.7,30.6,10.3,9.2
2005/8/18,751.625,755.2,76.75,1.5,15.5,27.8,24.2,32.4,1.6,7.1
2005/8/19,751.0333333,754.325,90.75,1.25,4.75,25.7,24.8,27.6,26.6,7.1
2005/8/20,749.425,753.025,84.5,1.25,8.25,26.8,24.7,30.1,8.9,7.4
2005/8/21,750.85,754.45,87.75,1.25,6.25,27.2,25.1,30.4,35.6,5.7
2005/8/22,753.125,756.725,90.25,1.25,12,25.7,24.6,30.8,10.4,5.3
2005/8/23,753.35,756.925,83.75,1,9.25,28.2,25.1,32.1,0.1,4.7
2005/8/24,752.2,755.8,81,1,9.95,27.1,24.7,31.3,19.3,5.4
2005/8/25,752.75,756.35,79.25,1,10.25,26.4,23.1,30.8,13,6.5
2005/8/26,753.9,757.5,82,1,11.66666667,27.2,24.1,30.5,0,4.5
2005/8/27,753.925,757.5,78.75,1.75,10.5,28,25.5,32.7,2.8,5.9
2005/8/28,753.35,756.875,71.5,2.25,13.5,29.1,24.8,33.1,0,7.2
2005/8/29,752.875,756.4,74.5,1.25,14.5,28.7,25.8,32,0.6,6.3
2005/8/30,751.2333333,754.4,68.5,1.75,15.25,30.1,25.1,35.1,0,5
2005/8/31,748.95,752.5,66.25,1.25,11,31.2,26.2,36.3,0,5.4
2005/9/1,747.55,751.05,58.5,2,11,30.4,27.3,34.1,0,12.8
2005/9/2,748.5,752.025,62.25,1.5,8.75,29.1,27.4,32.8,0,7.4
2005/9/3,750.3666667,753.825,78.25,1,11.25,27.2,26.5,28.3,0,3.6
2005/9/4,751.325,754.925,89,1,7.75,25.7,24,28.1,79.6,5.9
2005/9/5,752.7,756.3,74.75,0.75,12.5,28,23.8,33.4,0,5.1
2005/9/6,753.15,756.7,68.25,1.5,14.75,29,24.9,33.8,0,9.9
2005/9/7,753.725,757.3,66.75,1.25,13,29.1,25.4,33.7,0,8.6
2005/9/8,754.25,757.825,65.75,1.25,12.75,29.2,25.5,33.2,0,5.3
2005/9/9,754.775,758.35,74.75,1.25,5.5,28,26.2,31,1,3.6
2005/9/10,753.225,756.8,77,1,5.4,28.1,24.8,33.2,2.2,4.2
2005/9/11,751.7,755.25,64.25,1.25,8.5,29.4,25.1,34.5,0,7.2
2005/9/12,753.525,757.125,66.25,1.25,6.25,29.5,25.9,34.8,0.1,5
2005/9/13,756.4,759.95,76.25,1.75,14.5,28.9,26.5,33.3,1.9,6.6
2005/9/14,757.225,760.8,70.5,1.5,17.5,29.9,25.7,35.2,0,5.4
2005/9/15,756,759.575,68.5,1,12,30.3,27.2,35.1,0,4.8
2005/9/16,754.475,758.025,66,1.5,8,30.9,27.2,35.4,0,4.4
2005/9/17,755.1,758.625,70.5,1.5,13.5,29.4,25.9,35.1,5.1,8.9
2005/9/18,757.3,760.875,77.5,1.75,16.5,28,25.9,31.7,0.8,9.3
2005/9/19,758.375,761.975,79.75,1,15.25,27.6,25.9,32.3,0.5,4.5
2005/9/20,755.85,759.425,76,0.75,10,28.7,25.5,34.4,0,3.3
2005/9/21,753.6333333,757.1666667,76.66666667,0,9.333333333,29.8,25.4,35.3,0,4.1
2005/9/22,752,755.55,66.5,1.75,13.5,30.3,27.4,34.4,0,10.5
2005/9/23,752.375,755.925,63.5,2.25,14.75,27.6,25.5,31.5,0,16.8
2005/9/24,751.55,755.15,68.75,2.25,17.25,26.9,24.5,31.3,5.3,14.1
2005/9/25,751.9,755.5,72.5,2.5,15.5,26.7,23.9,30.3,3.9,9.9
2005/9/26,754.25,757.85,73.25,1.5,16.25,26.9,26,28.6,0.3,10.5
2005/9/27,757.325,760.925,78,1.25,16.25,26.6,25.3,29.8,0.5,7.7
2005/9/28,757.375,760.975,72.5,1.25,13,27.7,24.4,31.6,0,6
2005/9/29,756.375,759.95,73.25,1,9.25,28.7,25.6,32.8,0,3.5
2005/9/30,756.1,759.7,77,1,7.25,28.2,25,33.2,27.7,4.1
2005/10/1,755.15,758.75,75.25,0.75,7.25,29.2,25.6,35.2,0,3.2
2005/10/2,752.3,755.85,64,1.25,11.75,31.1,27.2,36.2,0,7.8
2005/10/3,752.325,755.9,60,2.25,16,29.1,26.1,33,0,13.1
2005/10/4,756.175,759.775,59,2.25,19.75,26.1,22.6,31.4,0,13.4
2005/10/5,756.95,760.575,65.25,1.75,18,25.5,21.3,30.9,0,8.7
2005/10/6,756.55,760.15,63.5,1.5,15.75,27.7,23.1,32.9,0,5.6
2005/10/7,756.65,760.25,62.25,2,15,27.8,25.1,31.8,0,10.5
2005/10/8,757.575,761.175,53.5,2.5,14,26.9,23.4,31.2,0,15
2005/10/9,758.6,762.2,49,2,16.25,26.1,23.4,30.6,0,13.8
2005/10/10,758,761.625,52.5,1.25,14.5,26.6,21.8,32.2,0,8.3
2005/10/11,757.5,761.1,58,1.25,14.5,27.4,22.7,33.1,0,5.3
2005/10/12,756.625,760.225,69,1,10.5,28.1,24.6,33.3,0,4.2
2005/10/13,756.475,760.075,69.25,1.5,8.5,28.1,25.3,32.4,0,3.8
2005/10/14,756.35,759.95,64.25,1,7.25,28.4,24.4,33.4,0,6.3
2005/10/15,757.775,761.375,57,1.75,7,26.4,23.4,30.7,0,10.2
2005/10/16,758.325,761.925,61.25,1.25,8.75,25,21.3,29.6,0,6.9
2005/10/17,758.85,762.475,67,1.25,8.5,26.1,21.7,31.2,0,4.7
2005/10/18,759.85,763.45,62.25,1,9.5,26.9,24.3,31.2,0,5.6
2005/10/19,759.825,763.475,63.25,1.25,9.25,26.2,24,30.3,0,5.6
2005/10/20,759.65,763.3,62,1.25,12.25,25.8,21.4,31.8,0,5.7
2005/10/21,759.5,763.125,55.75,1.25,12.75,26.3,21,31.8,0,9.6
2005/10/22,761.5,765.15,58,1.75,9.5,23.5,20,28.7,0,14.6
2005/10/23,762,765.675,54.5,2.25,15.5,21.7,17.9,26,0,11
2005/10/24,761.45,765.1,52.75,1,16.5,21.4,17.7,27.2,0,7.2
2005/10/25,760.25,763.95,60,1,14.5,22.3,18.7,26.7,0,5.1
2005/10/26,759.825,763.5,58.25,1,13.75,24.3,18.9,29.8,0,4.1
2005/10/27,759.8,763.425,71.75,1,9.25,24.8,20.9,30.9,0,3.6
2005/10/28,758.625,762.25,67,1.25,7.125,27.2,22.3,33.6,0,5.6
2005/10/29,759.1333333,762.8,62.66666667,2.333333333,12.33333333,22.3,19.9,28,0,16.7
2005/10/30,760.65,764.325,58.25,2,12.25,20.1,18.4,24.1,0,13.5
2005/10/31,761.1,764.825,44.25,2,14.75,20.8,17.3,25.8,0,10.8
2005/11/1,760.225,763.9,46.5,1,15.25,21.5,19.4,23.9,0,3.9
2005/11/2,759.25,762.9,55,1,12.25,24.2,21.1,29.1,0,4.7
2005/11/3,758.8,762.45,66,1,11,25.7,22.2,31.4,0,4.5
2005/11/4,757.95,761.575,63.75,1.75,7.75,26.2,20.5,31.5,0,4.4
2005/11/5,756.625,760.225,69.75,1.25,7.75,26.5,23.9,30.9,0,5.3
2005/11/6,755.925,759.525,75.5,1,6,27.1,24.6,32.2,0,4.1
2005/11/7,756.625,760.225,80,1.5,6,27.1,24.1,31.5,0,4.7
2005/11/8,758,761.6,74.25,1.25,5.875,27,25.2,30.5,0,4.8
2005/11/9,757.575,761.175,71,1.75,8.25,27.1,25,31.1,0,5.4
2005/11/10,755.975,759.575,73.5,1.5,7.75,26.9,23.5,31.2,0,4.5
2005/11/11,755,758.6,72,1,9.666666667,27.4,24.8,32.3,0,6.5
2005/11/12,755.975,759.575,70.75,1.25,12,25.4,23.9,29,0,6.9
2005/11/13,756.375,759.975,72.25,1.25,8.75,25.7,22.8,30.7,0.1,5
2005/11/14,756.5,760.125,80.25,1.25,10.25,24.1,22.7,26.9,2.5,7.7
2005/11/15,758.3,762,67.25,2.5,16,20.5,18.8,24.5,0,15.8
2005/11/16,760.625,764.3,58.5,1.75,17.75,19.3,16.4,24.2,0,13.1
2005/11/17,761.675,765.325,58,2,18,19.4,15.7,24.6,0,11.4
2005/11/18,763.65,767.35,59.25,2.25,17.25,18.6,16.1,23.1,0,13.6
2005/11/19,764.8,768.525,61.25,1.75,17.25,17.3,14.4,21.5,0,13.8
2005/11/20,764.325,768.1,54.5,2.5,20.5,16.6,12.4,22.1,0,14.4
2005/11/21,764.475,768.225,53,2.25,18.25,17,14,22.4,0,14.4
2005/11/22,763.9,767.65,52.5,1.5,14.5,17.1,12.7,23.3,0,8.7
2005/11/23,762.8,766.55,54.75,2,14.5,18,13.9,23.8,0,8.9
2005/11/24,761.9,765.625,55,1.5,15,18.5,15.3,24.6,0,7.4
2005/11/25,760.9,764.6,59.5,1,13.5,18.5,13.8,25.7,0,4.1
2005/11/26,760,763.75,65.25,0.75,11.5,19.2,13.9,27.2,0,4.2
2005/11/27,759.4666667,763.2,68.66666667,1,8,20.6,14.6,27.6,0,5.1
2005/11/28,759.525,763.175,65.25,1.25,8,22.9,19.1,29.9,0,3.8
2005/11/29,759.025,762.675,57,2,8.25,21.4,19.1,24.8,0,10.8
2005/11/30,757.9,761.625,56.5,1.25,9,19.3,17.1,23.7,0,5.5
2005/12/1,758.3,762,68.75,1,5.75,20.9,17.2,27,0,4.8
2005/12/2,759.425,763.1,75.5,1,4.625,21,16.9,26.9,0,4.7
2005/12/3,759.05,762.75,70.5,1.25,5.5,20.9,17.9,25.6,0,6.6
2005/12/4,761.4,765.1,53.25,2.25,15.75,16.5,14.6,22,0,18.3
2005/12/5,764.475,768.275,40.5,2.75,14,12.4,10.6,15.1,0,17.6
2005/12/6,767.2333333,771.1666667,38,2,18.66666667,7.8,6.6,10.6,0,14.7
2005/12/7,765.775,769.65,35.5,0.75,15.5,11.6,7.4,16.7,0,8.7
2005/12/8,763.75,767.575,36.75,1.25,13.25,14.3,10.4,19.8,0,4.5
2005/12/9,761.3,765.05,52.25,1.25,12.75,16.7,11.3,23.9,0,7.4
2005/12/10,759.75,763.475,54.25,1.25,11,19.5,16.2,25.4,0,6.2
2005/12/11,762.2,765.925,58,2.25,15.25,17.3,15.3,20.6,0,12.8
2005/12/12,764.65,768.45,51.25,2.75,15.25,14.3,12.1,18,0,19.4
2005/12/13,765.05,768.925,41,2,17.25,13.8,10.2,18.4,0,14.9
2005/12/14,766.3,770.125,29.75,2.25,13.5,13.6,10.9,18,0,14.3
2005/12/15,767.325,771.15,28,2.5,16.25,12.4,8.2,17.5,0,14.1
